Start... Grid search and Cross validation

LogisticRegression
params                                                                mean_test_score(%)
------------------------------------------------------------------  --------------------
{'algorithm': 'auto', 'metric': 'minkowski', 'n_neighbors': 9, 'weights': 'uniform'}                      65.3812
{'algorithm': 'auto', 'metric': 'minkowski', 'n_neighbors': 9, 'weights': 'distance'}                     64.0957
{'algorithm': 'auto', 'metric': 'minkowski', 'n_neighbors': 10, 'weights': 'uniform'}                     62.8369
{'algorithm': 'auto', 'metric': 'minkowski', 'n_neighbors': 10, 'weights': 'distance'}                    64.0869
{'algorithm': 'auto', 'metric': 'minkowski', 'n_neighbors': 11, 'weights': 'uniform'}                     63.2713
{'algorithm': 'auto', 'metric': 'minkowski', 'n_neighbors': 11, 'weights': 'distance'}                    63.6702
{'algorithm': 'auto', 'metric': 'minkowski', 'n_neighbors': 12, 'weights': 'uniform'}                     62.8546
{'algorithm': 'auto', 'metric': 'minkowski', 'n_neighbors': 12, 'weights': 'distance'}                    63.6791
{'algorithm': 'auto', 'metric': 'minkowski', 'n_neighbors': 13, 'weights': 'uniform'}                     64.1223
{'algorithm': 'auto', 'metric': 'minkowski', 'n_neighbors': 13, 'weights': 'distance'}                    61.5603
